a,b,code,pre,preposition,post
chair,potted plant,L,potted plant is,left to,the chair
chair,vase,L,vase is,left to,the chair
potted plant,chair,R,chair is,right to,the potted plant
potted plant,vase,B,vase is,below,the potted plant
vase,chair,R,chair is,right to,the vase
vase,potted plant,T,potted plant is,above,the vase
chair,potted plant,L,potted plant is,left to,the chair
chair,vase,L,vase is,left to,the chair
potted plant,chair,R,chair is,right to,the potted plant
potted plant,vase,B,vase is,below,the potted plant
vase,chair,R,chair is,right to,the vase
vase,potted plant,T,potted plant is,above,the vase
tv,chair,L,chair is,left to,the tv
chair,tv,R,tv is,right to,the chair
couch,potted plant,OL,potted plant is,on,the couch
couch,potted plant,OR,potted plant is,on,the couch
couch,potted plant,OL,potted plant is,on,the couch
couch,potted plant,OR,potted plant is,on,the couch
teddy bear,dining table,OB,teddy bear is,on,the dining table
dog,dining table,OT,dog is,under,the dining table
potted plant,couch,R,couch is,to the right of,the potted plant
couch,potted plant,L,potted plant is,to the left of,the couch
person,clock,R,clock is,to the right of,the person
clock,person,L,person is,to the left of,the clock
car,clock,L,clock is,to the left of,the car
car,tv,L,tv is,to the left of,the car
car,clock,R,clock is,to the right of,the car
clock,car,R,car is,to the right of,the clock
clock,tv,R,tv is,to the right of,the clock
tv,car,R,car is,to the right of,the tv
tv,clock,L,clock is,to the left of,the tv
tv,clock,R,clock is,to the right of,the tv
clock,car,L,car is,to the left of,the clock
clock,tv,L,tv is,to the left of,the clock
chair,potted plant,R,potted plant is,to the right of,the chair
potted plant,chair,L,chair is,to the left of,the potted plant
chair,clock,L,clock is,left,the chair
clock,chair,R,chair is,right,the clock
clock,chair,R,chair is,right,the clock
clock,chair,R,chair is,right,the clock
chair,clock,L,clock is,left,the chair
chair,clock,L,clock is,left,the chair
tv,chair,L,chair is,left,the tv
chair,tv,R,tv is,right,the chair
bed,cup,I,cup is,inside,the bed
cup,bed,O,bed is,outside,the cup
bottle,tv,R,tv is,right,the bottle
bottle,chair,R,chair is,right,the bottle
tv,bottle,L,bottle is,left,the tv
tv,chair,OR,chair is,next to,the tv
chair,bottle,L,bottle is,left,the chair
chair,tv,OL,tv is,next to,the chair
tv,keyboard,OB,keyboard is,under,the tv
tv,suitcase,OR,suitcase is,beside,the tv
tv,suitcase,R,suitcase is,right,the tv
keyboard,tv,OT,tv is,above,the keyboard
keyboard,suitcase,R,suitcase is,right,the keyboard
keyboard,suitcase,R,suitcase is,right,the keyboard
suitcase,tv,OL,tv is,beside,the suitcase
suitcase,keyboard,L,keyboard is,left,the suitcase
suitcase,tv,L,tv is,left,the suitcase
suitcase,keyboard,L,keyboard is,left,the suitcase
potted plant,couch,R,Couch is,Right,the potted plant
couch,potted plant,L,pottedplant is,left,the couch
person,potted plant,OR,potted plant is,beside,the person
potted plant,person,OL,person is,beside,the potted plant
book,bottle,OR,bottle is,beside,the book
book,laptop,L,laptop is,left,the book
bottle,book,OL,book is,beside,the bottle
bottle,laptop,OL,laptop is,beside,the bottle
laptop,book,R,book is,right,the laptop
laptop,bottle,OR,bottle is,beside,the laptop
bottle,bed,OB,bed is,under,the bottle
bottle,handbag,OB,handbag is,under,the bottle
bed,bottle,OT,bottle is,on,the bed
bed,handbag,I,handbag is,inside,the bed
handbag,bottle,OT,bottle is,on,the handbag
handbag,bed,O,bed is,outside,the handbag
potted plant,chair,OR,chair is,beside,the potted plant
potted plant,airplane,OB,airplane is,under,the potted plant
chair,potted plant,OL,potted plant is,beside,the chair
chair,airplane,OB,airplane is,under,the chair
airplane,potted plant,OT,potted plant is,on,the airplane
airplane,chair,OT,chair is,on,the airplane
laptop,cake,OR,cake is,beside,the laptop
cake,laptop,OL,laptop is,beside,the cake
chair,dining table,L,dining table is,left,the chair
chair,dining table,L,dining table is,left,the chair
dining table,chair,R,chair is,right,the dining table
dining table,chair,R,chair is,right,the dining table
person,cake,OB,cake is,in front of,the person
person,dining table,OB,dining table is,in front of,the person
cake,person,OT,person is,behind,the cake
cake,dining table,O,dining table is,beside,the cake
dining table,person,OT,person is,behind,the dining table
dining table,cake,I,cake is,on,the dining table
chair,bench,OL,bench is,beside,the chair
chair,bench,OR,bench is,beside,the chair
chair,bench,O,bench is,next to,the chair
bench,chair,OR,chair is,beside,the bench
bench,chair,OL,chair is,beside,the bench
bench,chair,I,chair is,on,the bench
